anime_id,title,type,source,score,genre,episode
36692,Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,Special,Original,7.01,"Sci-Fi, Music, Slice of Life, Comedy",4
32809,Xiong Chumo Zhi: Xue Ling Xiong Feng,Movie,Original,4.6,"Adventure, Comedy",1
35405,?/Sankaku no Rhythm/Trump no Arasoi,Movie,Original,4.98,Dementia,1
5578,Gosho Aoyama&#039;s Collection of Short Stories,Special,Unknown,7.39,"Adventure, Mystery, Comedy, Police, Shounen",7
8661,Chimuchimucheri ChimChimCheree,Music,Music,4.71,"Music, Slice of Life, Kids",1
36510,Ulysses: Jeanne d&#039;Arc to Renkin no Kishi,TV,Light novel,0,"Action, Fantasy",0
37537,Sobakasu,Music,Music,6,Music,1
17643,Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,OVA,Visual novel,7.45,"Slice of Life, Comedy, School",1
2207,Hamelin no Violin Hiki: The Movie,Movie,Manga,6.56,"Adventure, Comedy, Fantasy",1
19695,Clover 4/3,ONA,Unknown,6,"School, Drama",24
27847,Kyoushitsu wa Obake ga Ippai/Boku wa Yuusha da zo,OVA,Unknown,5.33,"Fantasy, Kids, Supernatural",1
34784,Kuroko no Basket: Oshaberi Shiyou ka,Special,Unknown,7.17,"Comedy, Sports, School, Shounen",1
25547,Momon&#039;s Sand Witch Bangai-hen: Tanu no Kyuujitsu,ONA,Unknown,4.63,"Comedy, Kids",1
7862,Transformers: Robot Masters,Special,Unknown,5.61,Mecha,2
8749,Forestry,Special,Unknown,4.55,Comedy,1
21435,Yama no Susume: Second Season,TV,Manga,7.52,"Adventure, Comedy, Slice of Life",24
3549,Allison to Lillia,TV,Light novel,7.39,"Action, Adventure, Shounen",26
8227,Akuma-kun: Youkoso Akuma Land e!!,Movie,Unknown,5.73,"Adventure, Fantasy, Horror, Magic, Supernatural",1
17489,Kero Kero Keroppi no Daibouken: Fushigi na Mame no Ki,Movie,Unknown,6.26,"Adventure, Comedy, Kids",1
2906,Rokushin Gattai GodMars: Juunana-sai no Densetsu,OVA,Unknown,5.99,"Action, Sci-Fi, Space, Mecha",1
31927,Phantom of the Kill: Zero kara no Hangyaku,Movie,Game,6.33,"Action, Adventure, Fantasy",1
1365,Detective Conan Movie 06: The Phantom of Baker Street,Movie,Manga,8.41,"Adventure, Mystery, Police, Shounen",1
10547,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,OVA,Visual novel,6.49,"Drama, Ecchi, Fantasy, Harem, Romance",1
1490,Ginga Tetsudou Monogatari,TV,Original,7.27,"Action, Adventure, Space, Drama, Sci-Fi",26
6872,Cyborg 009,Movie,Manga,6.27,"Action, Adventure, Drama, Sci-Fi, Shounen",1
36598,Heart Beat,Music,Original,5.51,Music,1
12347,Dirty Pair Flash 3,OVA,Light novel,6.64,"Action, Sci-Fi, Adventure, Comedy, Police",5
33087,Meiji Tokyo Renka Movie: Hanakagami no Fantasia,Movie,Game,6.65,"Fantasy, Harem, Historical, Romance, Shoujo",1
1292,Afro Samurai,TV,Original,7.41,"Action, Adventure, Samurai",5
21431,Gokukoku no Brynhildr,TV,Manga,7.05,"Drama, Mystery, Sci-Fi, Seinen",13
22635,Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland ONA,ONA,Unknown,4.57,"Comedy, Parody",4
746,Papa to Kiss in the Dark,OVA,Light novel,6.38,"Comedy, Drama, Romance, Yaoi",2
1600,Galaxy Angel Rune,TV,Unknown,6.49,"Sci-Fi, Comedy",13
1780,Choukou Tenshi Escalayer,OVA,Visual novel,6.65,"Demons, Hentai, Sci-Fi, Super Power",3
8514,Break Blade 2: Ketsubetsu no Michi,Movie,Manga,7.82,"Action, Fantasy, Mecha, Military, Shounen",1
6637,Higashi no Eden Movie II: Paradise Lost,Movie,Original,7.73,"Action, Comedy, Drama, Mystery, Romance, Thriller",1
4400,Inmu 2,OVA,Original,5.79,Hentai,2
30817,Netoraserare,OVA,Manga,5.69,Hentai,2
1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,Special,Game,7.14,"Action, Adventure, Comedy, Drama, Fantasy, Kids",1
33362,Starmyu 2nd Season,TV,Original,7.48,"Music, Slice of Life, School",12
5314,Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,Movie,Card game,6.24,"Adventure, Comedy, Fantasy",1
9662,Timing,ONA,Unknown,5.32,"Psychological, Horror",1
5204,Kara no Kyoukai 6: Boukyaku Rokuon,Movie,Light novel,7.65,"Action, Magic, Mystery, Romance, Supernatural, Thriller",1
8324,Pelican Road Club Caroucha,OVA,Manga,6.14,"Drama, Romance, Shounen",1
28761,00:08,Movie,Unknown,5.02,Dementia,1
37044,Guomin Laogong Dai Huijia 2nd season,ONA,Novel,6.82,"Drama, Romance, School",12
12899,Ucchare Goshogawara,OVA,Manga,5.63,"Martial Arts, School, Shounen, Sports",1
1572,Jungle Taitei,TV,Manga,6.67,"Adventure, Kids, Shounen",52
34280,Gamers!,TV,Light novel,7.25,"Comedy, Romance, School",12
22439,Hello Kitty: Ringo no Mori no Mystery,TV,Unknown,5.76,"Comedy, Kids, Mystery",13
30066,L/R: Licensed by Royal Special,Special,Original,6.17,"Action, Adventure, Police, Mystery",1
17895,Golden Time,TV,Light novel,7.89,"Comedy, Drama, Romance",24
19897,Ohayo! Spank (Movie),Movie,Unknown,6.23,"Comedy, Romance, Slice of Life",1
1729,Maria-sama ga Miteru 3rd,OVA,Light novel,7.95,"Drama, School, Shoujo Ai, Slice of Life",5
1621,Haru no Ashioto The Movie: Ourin Dakkan,Movie,Visual novel,4.97,"Action, Comedy, School",1
15971,Dasshutsu Gasshapon,ONA,Game,4.91,"Historical, Sci-Fi",10
2042,Five Star Stories,Movie,Manga,6.71,"Action, Drama, Fantasy, Mecha, Sci-Fi",1
25345,Rance 01: Hikari wo Motomete The Animation,OVA,Visual novel,7.7,"Fantasy, Hentai, Magic",4
29605,Double Hard,ONA,Unknown,7.39,"Action, Martial Arts",26
5908,Chinpui,TV,Manga,6.19,Comedy,56
6491,Scandal,ONA,Music,5.43,"Music, Slice of Life",12
10359,Jewelpet Sunshine,TV,Original,6.73,"Fantasy, Magic, Shoujo",52
17273,Hetalia: The Beautiful World Specials,Special,Unknown,7.85,"Comedy, Historical, Parody",4
19431,Gokujo.: Souda Onsen ni Ikou!!,Special,Manga,6.13,"Ecchi, Comedy, Shoujo Ai",1
1082,Hikari to Mizu no Daphne,TV,Original,6.83,"Sci-Fi, Mystery, Comedy, Police, Psychological, Drama, Ecchi",24
37099,Xiong Chumo Zhi: Xiong Zin Guilai,Movie,Original,4.33,"Adventure, Comedy, Kids",1
25363,Gensei Shugoshin P-hyoro Ikka OVA,OVA,Unknown,4.93,"Adventure, Fantasy, Shoujo",3
8363,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Movie,Manga,7.2,"Action, Adventure, Comedy, Seinen",1
25257,Persona 4 the Animation: Mr. Experiment Shorts,Special,Unknown,6.38,Comedy,5
33038,Nuwa Chengzhang Riji,ONA,Novel,6.43,"Comedy, Fantasy",30
9868,Chengyu Donghua Lang,TV,Unknown,5.91,"Historical, Kids",180
3995,Tokubetsu Byoutou,OVA,Visual novel,6.53,Hentai,2
7343,Youbi Masochist Animation,OVA,Unknown,4.44,Hentai,2
3107,Dark Shell: Ori no Naka no Namameki,OVA,Original,6.24,Hentai,2
32139,DušaN,Music,Music,5.91,"Music, Psychological",1
22657,Shin Seikimatsu: Yatsuto no Souguu,ONA,Unknown,5.06,"Comedy, Sci-Fi",5
37082,Uchuu Senkan Yamato Pilot Film,Special,Original,6.05,"Military, Sci-Fi, Space",1
12259,Mikeneko Holmes no Yuurei Joushu,OVA,Unknown,6.22,"Comedy, Drama, Mystery",1
32805,Nyanbo!,TV,Manga,6.35,Comedy,26
1582,Submarine 707R,OVA,Manga,6.34,"Action, Adventure, Military, Sci-Fi",2
29985,Kamen no Marionette-tachi,Movie,Original,5.81,Dementia,1
29507,Hamster Sam,TV,Unknown,6.08,"Kids, Music",4
4682,Ultra Nyan 2: The Great Happy Operation,Movie,Unknown,5.91,"Comedy, Kids",1
19683,Kick no Oni (1971),Movie,Unknown,5.54,"Shounen, Sports",1
26335,Nanatsu no Hoshi,OVA,Unknown,6.09,"Drama, Kids",1
33712,Bikini Warriors OVA,OVA,Other,5.69,"Comedy, Parody, Ecchi, Fantasy",5
15613,Hakkenden: Touhou Hakken Ibun,TV,Manga,7.54,"Action, Demons, Supernatural, Fantasy, Shoujo",13
5875,Kobutori (1929),Movie,Other,5.96,"Comedy, Demons",1
16564,84 Taekwon V,Movie,Unknown,5.24,"Action, Mecha, Sci-Fi",1
36903,Kengan Ashura,Unknown,Manga,0,"Action, Martial Arts",0
29782,Malay Oki Kaisen,Movie,Original,5.33,"Historical, Military",1
31174,Osomatsu-san,TV,Manga,8.18,"Comedy, Parody",25
34771,Dynamic Chord,TV,Visual novel,4.69,Music,12
29780,Tokyo Fantasia,Movie,Unknown,4.88,"Dementia, Music",1
6920,Blade,TV,Other,6.31,"Action, Drama, Horror, Vampire",12
13709,Afro Samurai Movie,Movie,Original,7.6,"Action, Adventure, Samurai",1
2019,DNA Sights 999.9,OVA,Manga,6.17,"Action, Adventure, Drama, Sci-Fi",1
4493,Shameshrine Andorora,OVA,Original,6.25,"Hentai, Sci-Fi",1
1861,Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,Movie,Unknown,7.63,"Slice of Life, Comedy, Sports, Drama, School, Shounen",1
10822,Ranma ½: Totteoki Talk Best of Memories,OVA,Unknown,7.17,"Comedy, Martial Arts, Slice of Life",1
8767,Shin Tenchi Muyou! Specials,Special,Unknown,7.01,"Comedy, Romance, Sci-Fi, Shounen",6
1832,Meiou Project Zeorymer,OVA,Manga,6.28,"Action, Sci-Fi, Psychological, Drama, Mecha",4
2333,Anime Sanjuushi,TV,Novel,7.22,"Adventure, Drama, Historical, Romance",52
12549,"Dakara Boku wa, H ga Dekinai.",TV,Light novel,6.87,"Comedy, Ecchi, Romance, Supernatural",12
34856,Cluster A,Music,Music,5.46,Music,1
21975,Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,OVA,Unknown,5.91,"Comedy, Fantasy, Kids",2
36291,Ling Yu,ONA,Novel,6.74,Fantasy,10
22961,Date A Live: Encore,OVA,Light novel,8.01,"Slice of Life, Romance",1
1440,Ninja Mono,OVA,Original,5.83,"Adventure, Comedy, Shounen, Supernatural",2
27881,Ana no Oku no Ii Tokoro,OVA,Manga,6.32,Hentai,2
3605,Princess Army: Wedding★Combat,OVA,Manga,5.38,"Action, Martial Arts, Romance, Shoujo",2
5088,Fabre-sensei wa Meitantei,TV,Book,6.38,Mystery,26
30924,Mikagura Gakuen Kumikyoku,Music,Music,6.73,"Music, Psychological, School",5
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Movie,Manga,7.21,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen",1
33871,Estima: Sense of Wonder,ONA,Original,4.86,"Sci-Fi, Cars, Comedy, Historical",13
17259,Kuroko no Basket: Oshaberi Shiyokka,Special,Unknown,7.38,"Comedy, School, Sports, Shounen",1
36225,Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,OVA,Visual novel,7.44,Hentai,0
10920,Seikon no Qwaser II Picture Drama,Special,Unknown,6.12,"Ecchi, Yuri",4
272,Noir,TV,Original,7.38,"Action, Mystery, Drama",26
2998,Hi no Tori: Uchuu-hen,OVA,Unknown,7.11,"Sci-Fi, Space, Drama, Fantasy",1
9598,Haiyoru! Nyaruani: Remember My Love(craft-sensei),TV,Light novel,6.3,"Comedy, Sci-Fi",11
4562,Chikan Juunin-tai The Animation,OVA,Original,6.07,Hentai,5
11751,Senki Zesshou Symphogear,TV,Original,7.07,"Action, Sci-Fi, Music",13
2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,Manga,8.17,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",1
15201,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,Movie,Original,7.43,"Action, Mecha, Military",1
6861,Shui Naodai,Special,Original,6.33,"Sci-Fi, Dementia, Fantasy",1
2678,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,Movie,Unknown,7.14,"Adventure, Fantasy, Kids, Shounen",1
